Дата;Магазин;Сумма;Комментарий
03.01.2026;Яндекс Такси;-450,00;В аэропорт
05.01.2026;Яндекс Такси;-320,00;
07.01.2026;Яндекс Такси;-280,50;Офис
08.01.2026;Перекрёсток;-2340,80;Продукты недели
10.01.2026;Перекрёсток;-890,00;
12.01.2026;Перекрёсток;-1560,40;
14.01.2026;Ozon;-4200,00;Монитор для работы
15.01.2026;Ozon;-890,00;Клавиатура
16.01.2026;Кофемания;-480,00;Встреча с клиентом
17.01.2026;Кофемания;-320,00;
18.01.2026;Яндекс Плюс;-299,00;Подписка
20.01.2026;МТС;-650,00;Связь
22.01.2026;Аптека 36.6;-780,00;
23.01.2026;Wildberries;-2100,00;Одежда
25.01.2026;ИП Иванов;-15000,00;Фриланс дизайн
26.01.2026;Неизвестный киоск;-120,00;
27.01.2026;Skype Cafe;-890,00;Разовая встреча
28.01.2026;Перекрёсток;-1100,00;
29.01.2026;Яндекс Такси;-510,00;
30.01.2026;Adobe;-1890,00;Creative Cloud
02.02.2026;Яндекс Такси;-390,00;
03.02.2026;Перекрёсток;-2010,00;
05.02.2026;Ozon;-3500,00;SSD для ноутбука
06.02.2026;Кофемания;-410,00;
08.02.2026;VK Ads;-12000,00;Реклама
10.02.2026;Ашан;-3200,00;
12.02.2026;Разовая лавка у метро;-85,00;
